title,price_in_aed,kilometers,body_condition,mechanical_condition,seller_type,body_type,no_of_cylinders,transmission_type,regional_specs,horsepower,fuel_type,steering_side,year,color,emirate,motors_trim,company,model,date_posted
BMW 520i Full option 2014 |  Excellent condetion,"49,000",109000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2014,White, Dubai,520i,bmw,5-series,07/03/2022
Land Rover Discovery HSE Luxury,"95,000",116976,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2016,Black, Dubai,HSE Luxury,land-rover,discovery,23/10/2021
AED1403/month | 2016 Land Rover Discovery Sport HSE 2.0L | GCC Specs | Ref#8890,"76,500",169584,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2016,Red, Dubai,HSE,land-rover,discovery-sport,17/03/2022
FOR EXPORT-TOYOTA HILUX GR SPORT 4.0 FULL OPTION,"152,000",0,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,,Black, Dubai,GR Sport,toyota,hilux,02/02/2022
TOYOTA COROLLA CROSS HYBRID HV MID 1.8 - 2021 - WHITE PEARL - EXPORT,"100,000",0,Perfect inside and out,Perfect inside and out,Dealer,Crossover,4,Automatic Transmission,GCC Specs,Less than 150 HP,Hybrid,Left Hand Side,2021,White, Dubai,Other,toyota,corolla-cross,18/10/2021
Honda Accord,"16,500",318300,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2008,Silver, Dubai,LX,honda,accord,09/05/2022
PEARL CAPSULE 2021 - EXCELLENT CONDITION - HIGH SPECS,"1,228,000",37000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,European Specs,600 - 700 HP,Gasoline,Left Hand Side,2021,Green, Dubai,Other,lamborghini,urus,30/04/2022
grand Cherokee 2011 limited full options,"35,000",195000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,North American Specs,Unknown,Gasoline,Left Hand Side,2011,Black, Sharjah,Limited,jeep,grand-cherokee,09/05/2022
Company Owned - NISSAN/TIIDA - HATCHBACK 2013,"25,000",58773,Perfect inside and out,Perfect inside and out,Owner,Hatchback,4,Automatic Transmission,Other,Less than 150 HP,Gasoline,Left Hand Side,2013,Silver, Abu Dhabi,SL,nissan,tiida,10/05/2022
Ford rabte,"244,000",38000,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,8,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2018,Black, Abu Dhabi,Roush,ford,f-series-pickup,12/05/2022
Nissan Super Safari 2017 GCC Original Paint  ( One Owner ) سوبر سفاري خليجي مالك واحد صبغ الوكالة,"125,000",133000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2017,White, Dubai,Safari,nissan,patrol,25/03/2022
Exclusive Offer • 975x60PM • 2017 Mitsubishi ASX 2.0L 148hp • Warranty  Service Available • GCC,"59,000",88000,Perfect inside and out,Perfect inside and out,Dealer,Crossover,4,Automatic Transmission,GCC Specs,Less than 150 HP,Gasoline,Left Hand Side,2017,Black, Dubai,Standard,mitsubishi,asx,22/04/2022
Toyota Previa 2017,"65,000",110000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2017,Black, Dubai,Other,toyota,previa,29/04/2022
WARRANTY UNTIL JAN 2026 + SERVICE 2027 |Cadillac Escalade 600 Platinum Sport 2021 Black 900 KM,"515,000",900,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2021,Black, Dubai,Platinum,cadillac,escalade,22/01/2022
Toyota Hiace High Roof 15 Seater 2.5 Diesel MY2021,"105,000",0,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Manual Transmission,Other,200 - 300 HP,Diesel,Left Hand Side,2021,White, Dubai,Commuter Super LWB,toyota,hiace,03/09/2019
"2017 Land Rover Range Rover HSE 3.0L 6Cyl 340hp/AED 4,407/Month//ASSURED QUALITY","268,900",68000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2017,Burgundy, Dubai,HSE,land-rover,range-rover,25/04/2022
QX80 GCC TOP,"169,000",69000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2018,White, Sharjah,Luxury,infiniti,q80,25/02/2022
Mercedes S 500 GCC 2006 5.0L 8 cylinder in perfect condition,"26,000",182000,Perfect inside and out,Perfect inside and out,Owner,Sedan,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2006,Grey, Dubai,S 500,mercedes-benz,s-class,19/03/2022
Ford EXPLORER,"35,000",149,Perfect inside and out,Perfect inside and out,Owner,SUV,6,Automatic Transmission,North American Specs,200 - 300 HP,Gasoline,Left Hand Side,2013,Blue, Dubai,XLT,ford,explorer,19/04/2022
MERCEDES BENZ G500 NIGHT PACKAGE 2022,"760,000",0,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,European Specs,400 - 500 HP,Gasoline,Left Hand Side,,White, Dubai,G 500,mercedes-benz,g-class,28/02/2022
Inspected Car | 2013 Mercedes-Benz Brabus B50S 4.7L | Full Mercedes-Benz Service  |GCC| Ref#10344,"165,000",64613,Perfect inside and out,Perfect inside and out,Dealer,Hard Top Convertible,8,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2013,White, Dubai,SL 500,mercedes-benz,sl-class,02/04/2022
Inspected Car | 2014 Dodge Challenger R/T 5.7L | GCC Specifications | Ref#11455,"40,000",197043,Perfect inside and out,Perfect inside and out,Dealer,Coupe,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2014,Black, Dubai,R/T,dodge,challenger,20/04/2022
Inspected Car | 2009 Mercedes-Benz S 350 3.5L | GCC specifications | Ref#14227,"39,000",141101,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2009,Black, Abu Dhabi,S 350,mercedes-benz,s-class,13/05/2022
AED1137/month | 2016 Mitsubishi Pajero GLS 3.5L | GCC Specifications | Ref#13357,"62,000",134639,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2016,Black, Dubai,GLS,mitsubishi,pajero,01/05/2022
2017 LEXUS NX 200T F SPORT FULL OPTION / SUNROOF / LEATHER SEATS / PUSH START / ELECTRIC SEATS,"75,000",71000,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,North American Specs,150 - 200 HP,Gasoline,Left Hand Side,2017,Black, Dubai,F Sport Platinum,lexus,nx-200t,30/03/2022
2022 New Mercedes G500 Special color China Blue ( warranty and contract Service),"880,000",0,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,,Blue, Dubai,G 500,mercedes-benz,g-class,27/03/2022
R/T 5.7,"44,500",161000,Perfect inside and out,Perfect inside and out,Owner,Sedan,8,Automatic Transmission,North American Specs,500 - 600 HP,Gasoline,Left Hand Side,2016,Black, Dubai,R/T,dodge,charger,07/05/2022
"AED12,300/month | 2020 Mercedes-Benz G 63 AMG 4.0L  | GCC specifications | Ref#13185","820,000",18772,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2020,Blue, Dubai,G 63 AMG,mercedes-benz,g-class,05/05/2022
NISSAN PATROL SUPER SAFARI MT 2021,"161,000",0,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Manual Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2021,Gold, Abu Dhabi,Super Safari,nissan,patrol,09/05/2022
Mercedes Benz A220 2020 model,"114,000",25000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,North American Specs,150 - 200 HP,Gasoline,Left Hand Side,2020,White, Ajman,Other,mercedes-benz,a-class,31/03/2022
Audi TT TFSI Coupe S-line 2015 GCC - Warranty/S-Line/Good Condition!,"69,500",98900,Perfect inside and out,Perfect inside and out,Dealer,Coupe,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2015,Grey, Dubai,S-Line,audi,tt,11/05/2022
Inspected Car | 2020 Hyundai Santa Fe GlS Top 3.5L | GCC specifications | Ref#3589,"130,000",24516,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2020,White, Dubai,GLS Top,hyundai,santa-fe,10/03/2022
"2020 Mitsubishi Pajero GLS Highline SUV 3.8L 6Cyl (KILOMETERS=25K), WARRANTY=YES)","89,000",25000,Perfect inside and out,Perfect inside and out,Owner,SUV,6,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2020,Beige,Sharjah,GLS,mitsubishi,pajero,09/05/2022
NISSAN SENTRA 2017 MODEL VERY CLEAN CAR,"28,500",91000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,North American Specs,Unknown,Gasoline,Left Hand Side,2017,Blue, Dubai,SV,nissan,sentra,12/05/2022
2022 BRAND NEW AUDI RS7 | FACTORY WARRANTY | BLACK EDITION | WOODEN INTERIOR,"698,000",0,Perfect inside and out,Perfect inside and out,Dealer,Coupe,8,Automatic Transmission,European Specs,600 - 700 HP,Gasoline,Left Hand Side,,Black, Dubai,RS,audi,s7rs7,21/03/2022
Nissan Patrol Le Titanium 2022 Black,"310,000",0,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,,Black, Abu Dhabi,LE Titanium,nissan,patrol,07/05/2022
nissan patrol,"58,000",237000,Perfect inside and out,Perfect inside and out,Owner,SUV,6,Manual Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2010,Gold, Sharjah,Safari,nissan,patrol,13/05/2022
BMW 760Li XDrive V12 M kit GCC 2018 under warranty from agency under service contract from agency,"277,000",66000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,12,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2018,Grey, Dubai,760Li xDrive,bmw,7-series,24/01/2022
BMW 3-Series 2015(GCC),"49,500",150000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2015,Red, Dubai,320i Modern-line,bmw,3-series,05/05/2022
Full option 750li for urgent sale ( No smoke  Leak),"29,500",207330,Perfect inside and out,Perfect inside and out,Owner,Sedan,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2010,White, Dubai,750i,bmw,7-series,26/04/2022
Lexus GX 470 GCC 2014 perfect condition full options original paint,"105,000",114000,Perfect inside and out,Perfect inside and out,Owner,SUV,8,Automatic Transmission,GCC Specs,900+ HP,Gasoline,Left Hand Side,2014,White, Ajman,Standard,lexus,gx-series,11/05/2022
Toyota Camry SE 2020 اوراق كمارك,"70,000",30000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,North American Specs,Unknown,Gasoline,Left Hand Side,2020,Black, Sharjah,SE+,toyota,camry,04/05/2022
Toyota Yaris Hatchback 1.3L With Warranty,"52,900",42500,Perfect inside and out,Perfect inside and out,Dealer,Hatchback,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2019,White, Dubai,S,toyota,yaris,11/05/2022
Volkswagen ID.6 X PURE 2021 Electric Vehicle,"146,000",0,Perfect inside and out,Perfect inside and out,Dealer,Crossover,,Automatic Transmission,Other,Unknown,Electric,Left Hand Side,2021,Other Color, Dubai,Other,volkswagen,id6,21/03/2022
Patrol SE/Low Mileage/Well Marinated/Full service History,"120,000",106309,Perfect inside and out,Perfect inside and out,Dealership/Certified Pre-Owned,Wagon,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2015,White, Dubai,SE P2,nissan,patrol,21/02/2022
dodge ram,"95,000",73000,Perfect inside and out,Perfect inside and out,Owner,Pick Up Truck,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2019,Silver,Al Ain,1500 SLT Crew,dodge,ram,06/05/2022
"LEATHER SEATS + ORGINAL PAINT + FULL OPTION / GCC / 2017 / UNLIMITED MILEAGE WARRANTY / 1,705 DHS PM","103,800",172943,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2017,Black, Dubai,LS,chevrolet,tahoe,11/02/2022
HYUNDAI CENTENNIAL,"85,000",6000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6,Automatic Transmission,Other,300 - 400 HP,Gasoline,Left Hand Side,2015,White, Dubai,Other,hyundai,centennial,11/05/2022
GT LINE -TURBO - 1300 MONTHLY warranty,"79,000",86000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,North American Specs,300 - 400 HP,Gasoline,Left Hand Side,2019,Burgundy, Sharjah,Other,kia,stinger,20/03/2022
2022 BRAND NEW MERCEDES GLC 300 AWD COUPE 5Y DEALER WARRANTY SERVICE,"339,000",0,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,,Grey, Abu Dhabi,GLC 300 4MATIC,mercedes-benz,glc,31/03/2022
Mercedes-Benz G63 AMG 2019 - Under Warranty,"749,000",34267,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2019,Blue, Dubai,G 63 AMG,mercedes-benz,g-class,12/05/2022
TOYOTA HIACE VAN 2016 MODEL,"70,000",143400,Perfect inside and out,Perfect inside and out,Owner,Van,4,Manual Transmission,GCC Specs,900+ HP,Gasoline,Left Hand Side,2016,White, Dubai,Standard,toyota,hiace,10/05/2022
PPORCHE CAYENNE V6 TURBO SPECS,"50,000",200000,Perfect inside and out,Perfect inside and out,Owner,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2011,Black, Dubai,Standard,porsche,cayenne,10/05/2022
Inspected Car | 2013 Ford Edge SEL 3.5L | GCC Specifications | Ref#14379,"33,000",131220,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2013,Green, Dubai,SEL,ford,edge,13/05/2022
AED1305/month | 2022 Suzuki Jimny 1.5L | Full Suzuki Service History | GCC Specs | Ref#9454,"87,000",2501,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,GCC Specs,Less than 150 HP,Gasoline,Left Hand Side,,Blue, Dubai,Other,suzuki,jimny,22/03/2022
(LHD) Land Cruiser 300 GR Sport 3.3D AT MY2022 – Grey (VC: LC3003.3D_17),"415,000",0,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,Other,400 - 500 HP,Diesel,Left Hand Side,,Grey, Dubai,GR Sport,toyota,land-cruiser,12/02/2022
AED1874/month | 2019 Nissan Patrol Safari 4.8L | GCC Specifications | Ref#11850,"124,900",115768,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2019,Gold, Dubai,Safari,nissan,patrol,12/05/2022
Infiniti G37 lady use,"26,900",160000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2012,White, Dubai,Other,infiniti,gseries,13/05/2022
2021 BRAND NEW JEEP WRANGLER *RUBICON 392 UNLIMITED* | GCC SPECS | WITH WARRANTY,"369,000",59,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2021,Black, Dubai,Rubicon,jeep,wrangler-unlimited,29/04/2022
Inspected Car | 2013 Mercedes-Benz ML 500 4matic 4.7L | GCC Specs | Ref#9641,"98,500",74205,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2013,Black, Dubai,ML 500,mercedes-benz,m-class,05/04/2022
2008 LAMBORGHINI GALLARDO | CONVERTIBLE |  V10 l 523BHP [ABU-DHABI SHOWROOM],"309,000",25939,Perfect inside and out,Perfect inside and out,Dealer,Sports Car,10,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2008,Orange, Dubai,Spyder,lamborghini,gallardo,07/03/2022
"AED 2,450/Month | Zero DP | Mazda™ | CX-9 | Signature | AWD | Warranty and Service | GCC","134,900",54188,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2019,Grey, Dubai,Other,mazda,cx-9,13/05/2022
Nissan Patrol VTC Super Safari 2018 Gcc Original Paint,"126,000",100000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2018,White, Sharjah,Super Safari,nissan,patrol,21/04/2022
GCC Range rover vogue,"125,000",150000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2014,Black, Sharjah,Vogue SE,land-rover,range-rover,04/05/2022
G63 2020,"705,000",113000,Perfect inside and out,Perfect inside and out,Owner,Wagon,8,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2020,Black, Abu Dhabi,G 63 AMG,mercedes-benz,g-class,28/04/2022
Lamborghini Urus - GCC - No Accidents - Excellent Condition,"939,999",61099,Perfect inside and out,Perfect inside and out,Owner,SUV,8,Automatic Transmission,GCC Specs,600 - 700 HP,Gasoline,Left Hand Side,2019,White, Dubai,Standard,lamborghini,urus,12/04/2022
Aston Martin - DB 9 - Low Mileage,"121,000",72000,"Normal wear & tear, a few issues","Minor faults, all fixed",Owner,Coupe,12,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2009,Grey, Dubai,Standard,aston-martin,db9,19/04/2022
Explorer XLT / VGC / No sunroof / Fixed price,"38,500",167000,"A bit of wear & tear, all repaired",Perfect inside and out,Owner,SUV,6,Automatic Transmission,GCC Specs,900+ HP,Gasoline,Left Hand Side,2014,Black, Dubai,XLT,ford,explorer,04/05/2022
"AED 2,780 Per Month / 0% D.P | ORIGINAL PAINT ( صبغ وكاله ) Ford Mustang GT 5.0 ( 2018 Model! ) GCC","142,000",50000,Perfect inside and out,Perfect inside and out,Dealer,Coupe,8,Manual Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2018,Black, Dubai,GT,ford,mustang,18/12/2021
mercedes-benz s-class,"48,000",117000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,8,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2009,White, Sharjah,S 63 AMG,mercedes-benz,s-class,02/11/2021
Inspected Car | 2019 Renault Duster 2.0L | Full Renault Service History | GCC Specs | Ref#13795,"48,000",72183,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,GCC Specs,Less than 150 HP,Gasoline,Left Hand Side,2019,Silver, Dubai,Other,renault,duster,10/05/2022
(LHD) Toyota Hilux 2.8 D-cab Adventure MT MY2021,"142,000",0,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,4,Manual Transmission,Other,200 - 300 HP,Diesel,Left Hand Side,2021,Black, Dubai,Adventure,toyota,hilux,24/10/2021
Porsche Cayenne 2019 GCC,"280,000",89000,Perfect inside and out,Perfect inside and out,Owner,SUV,6,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2019,Blue, Dubai,Standard,porsche,cayenne,30/04/2022
AED 1370 PM | 0% DP | 1.6L PREMIUM GCC WARRANTY,"69,900",159926,Perfect inside and out,Perfect inside and out,Dealer,Hatchback,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2018,Grey, Dubai,1.6 T,infiniti,q30,13/05/2022
Ford Bronco Wildtrak V6 2021  0KM GCC from Al Tayer,"298,000",0,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2021,Yellow, Dubai,Other,ford,bronco,01/03/2022
Inspected Car | 2007 Hummer H3 3.5L | GCC Specifications | Ref#10405,"24,000",135886,Perfect inside and out,Perfect inside and out,Dealer,SUV,5,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2007,Silver, Dubai,Other,hummer,h3,03/04/2022
2018 Cadillac CT6 Platinum 3.0TC GCC,"152,000",84000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2018,White, Dubai,Platinum,cadillac,ct6,17/04/2022
RANGE ROVER VOGUE HSE SUPERCHARGER 2018 - GCC- FULL SERVICE AL TAYER - FULLY LOADED - FREE ACCIDENTS,"305,000",101000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2018,Blue, Dubai,HSE,land-rover,range-rover,16/04/2022
Inspected Car | 2014 Toyota Prado VXR 2.7L | GCC Specifications | Ref#13527,"95,000",139470,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2014,Black, Dubai,Prado VXR,toyota,prado,04/05/2022
2014 | FORD EXPLORER | XLT 4WD | 3.5L V6 7-SEATER | GCC | 100% ORIGINAL PAINT FOR SALE DUE TO LEAVE,"64,000",97000,Perfect inside and out,Perfect inside and out,Owner,SUV,6,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2014,White, Dubai,XLT,ford,explorer,11/05/2022
GMC ACADIA 3.6 V6 8 SEATERS,"19,900",137000,Perfect inside and out,Perfect inside and out,Owner,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2011,White, Sharjah,SLT,gmc,acadia,05/05/2022
Special edition bmw 740li,"33,000",186000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2009,Blue, Dubai,740li Luxury,bmw,7-series,06/05/2022
"RANGE ROVER SV AUTOBIOGRAPHY, 2020, FULLY LOADED, EXCELLENT CONDITION","569,000",38000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,European Specs,500 - 600 HP,Gasoline,Left Hand Side,2020,Black, Dubai,SV Autobiography,land-rover,range-rover,27/01/2022
GCC + FULL OPTION + LEATHER SEATS + SUNROOF + SCREEN / 2016 / UNLIMITED MILEAGE WARRANTY / 780DHS PM,"48,900",150127,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2016,Black, Dubai,Titanium,ford,fusion,27/04/2022
E 350 S 2013M V6 3.5L Fully Loaded In Excellent Condition,"50,000",97000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2013,White, Dubai,E 350,mercedes-benz,e-class,07/02/2022
CLA 250 AMG 2021,"160,000",18090,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,North American Specs,200 - 300 HP,Gasoline,Left Hand Side,2021,Yellow, Dubai,CLA250,mercedes-benz,cla,20/04/2022
toyota corolla,"29,000",145000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,North American Specs,Less than 150 HP,Gasoline,Left Hand Side,2015,Grey, Sharjah,LE,toyota,corolla,29/04/2022
"Titanium Full option, GCC Spec. Accident Free, Family car,","92,000",78000,Perfect inside and out,Perfect inside and out,Owner,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2016,Red, Dubai,Titanium,ford,edge,08/05/2022
RANGE ROVER SPORT DYNAMIC 2019 (mint condition),"299,000",23000,Perfect inside and out,Perfect inside and out,Owner,SUV,8,Automatic Transmission,North American Specs,400 - 500 HP,Gasoline,Left Hand Side,2019,Grey, Dubai,HSE Dynamic,land-rover,range-rover-sport,27/04/2022
Patrol fully restored,"98,000",160000,Perfect inside and out,Perfect inside and out,Owner,SUV,8,Manual Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,1997,Gold, Dubai,Super Safari,nissan,patrol,08/05/2022
(LHD) TOYOTA LAND CRUISER PICKUP D/C 4.0P MT MY2021 (VC: aTo),"129,000",0,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,4,Manual Transmission,Other,200 - 300 HP,Gasoline,Left Hand Side,2021,White, Dubai,Other,toyota,land-cruiser,27/10/2021
SHELBY KIT(MONTHLY 1370/-)PREMIUM/FULL OPTION,"87,000",40100,"No accidents, very few faults",Perfect inside and out,Dealer,Sports Car,4,Automatic Transmission,North American Specs,300 - 400 HP,Gasoline,Left Hand Side,2020,Green, Dubai,Ecoboost,ford,mustang,09/05/2022
GMC Sierra 2021 _ v8 _ IMMACULATE CONDITION,"170,000",20799,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,North American Specs,400 - 500 HP,Gasoline,Left Hand Side,2021,White, Dubai,Other,gmc,sierra,16/03/2022
PANORAMIC SUN ROOF/LOW MILEAGE/ACCIDENT FREE,"98,000",7292,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,North American Specs,300 - 400 HP,Gasoline,Left Hand Side,2018,Other Color, Dubai,Limited,toyota,highlander,07/04/2022
Nissan Patrol V8 NISMO Gcc 3 years local Delar warranty,"377,000",0,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2021,Silver, Dubai,Nismo,nissan,patrol,06/02/2022
UNDER WARRANTY! CAMARO 2015 CLEAN TITLE WITHOUT ACCIDENT,"43,000",54574,Perfect inside and out,Perfect inside and out,Owner,Coupe,6,Automatic Transmission,North American Specs,Unknown,Gasoline,Left Hand Side,2015,Black, Dubai,Other,chevrolet,camaro,07/05/2022
Inspected Car | 2011 Nissan Patrol LE 5.6L | GCC Specifications | Ref#6788,"75,000",173426,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2011,White, Abu Dhabi,LE,nissan,patrol,20/02/2022
TOYOTA COROLLA XLI  ENG 2.0L MY 2022 PRICE FOR EXPORT,"75,000",0,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,,White, Dubai,XLI,toyota,corolla,22/03/2022
